Filename,ID,Bed,Camera,Timestamp
L_20171115T005751.596317.png,1A1,1,LEFT,20171115T005751.596317
L_20171115T005752.597738.png,1A1,1,LEFT,20171115T005752.597738
L_20171115T005753.594423.png,1A1,1,LEFT,20171115T005753.594423
L_20171115T005754.602903.png,1A1,1,LEFT,20171115T005754.602903
L_20171115T005755.599437.png,1A1,1,LEFT,20171115T005755.599437
L_20171115T005756.592672.png,1A1,1,LEFT,20171115T005756.592672
L_20171115T005757.603789_1A2_L1.png,1A2,1,LEFT,20171115T005757.603789
L_20171115T005758.601923_1A2_L2.png,1A2,1,LEFT,20171115T005758.601923
L_20171115T005759.589128_1A2_L3.png,1A2,1,LEFT,20171115T005759.589128
L_20171115T005800.587644_1A2_L4.png,1A2,1,LEFT,20171115T005800.587644
L_20171115T005801.592059_1A2_L5.png,1A2,1,LEFT,20171115T005801.592059
L_20171115T005802.585688.png,1A3,1,LEFT,20171115T005802.585688
L_20171115T005803.587860.png,1A3,1,LEFT,20171115T005803.587860
L_20171115T005804.585589.png,1A3,1,LEFT,20171115T005804.585589
L_20171115T005805.576468.png,1A3,1,LEFT,20171115T005805.576468
L_20171115T005806.581113.png,1A3,1,LEFT,20171115T005806.581113
L_20171115T005807.608158_1A4_L1.png,1A4,1,LEFT,20171115T005807.608158
L_20171115T005808.581335_1A4_L2.png,1A4,1,LEFT,20171115T005808.581335
L_20171115T005809.581048_1A4_L3.png,1A4,1,LEFT,20171115T005809.581048
L_20171115T005810.580941_1A4_L4.png,1A4,1,LEFT,20171115T005810.580941
L_20171115T005811.565567_1A4_L5.png,1A4,1,LEFT,20171115T005811.565567
L_20171115T005812.562587.png,1A5,1,LEFT,20171115T005812.562587
L_20171115T005813.578290.png,1A5,1,LEFT,20171115T005813.578290
L_20171115T005814.562410.png,1A5,1,LEFT,20171115T005814.562410
L_20171115T005815.562484.png,1A5,1,LEFT,20171115T005815.562484
L_20171115T005816.570212.png,1A5,1,LEFT,20171115T005816.570212
L_20171115T005817.558707.png,1A5,1,LEFT,20171115T005817.558707
L_20171115T005818.581585.png,1A6,1,LEFT,20171115T005818.581585
L_20171115T005819.559220.png,1A6,1,LEFT,20171115T005819.559220
L_20171115T005820.549583.png,1A6,1,LEFT,20171115T005820.549583
L_20171115T005821.546232.png,1A6,1,LEFT,20171115T005821.546232
L_20171115T005822.555682.png,1A6,1,LEFT,20171115T005822.555682
L_20171115T005823.546817_1A7_L1.png,1A7,1,LEFT,20171115T005823.546817
L_20171115T005824.546153_1A7_L2.png,1A7,1,LEFT,20171115T005824.546153
L_20171115T005825.542753_1A7_L3.png,1A7,1,LEFT,20171115T005825.542753
L_20171115T005826.538889_1A7_L4.png,1A7,1,LEFT,20171115T005826.538889
L_20171115T005827.538741_1A7_L5.png,1A7,1,LEFT,20171115T005827.538741
L_20171115T005828.540382.png,1A8,1,LEFT,20171115T005828.540382
L_20171115T005829.533008.png,1A8,1,LEFT,20171115T005829.533008
L_20171115T005830.537381.png,1A8,1,LEFT,20171115T005830.537381
L_20171115T005831.535739.png,1A8,1,LEFT,20171115T005831.535739
L_20171115T005832.534016.png,1A8,1,LEFT,20171115T005832.534016
L_20171115T005833.531518_1A9_L1.png,1A9,1,LEFT,20171115T005833.531518
L_20171115T005834.535270_1A9_L2.png,1A9,1,LEFT,20171115T005834.535270
L_20171115T005835.541036_1A9_L3.png,1A9,1,LEFT,20171115T005835.541036
L_20171115T005836.535528_1A9_L4.png,1A9,1,LEFT,20171115T005836.535528
L_20171115T005837.528592_1A9_L5.png,1A9,1,LEFT,20171115T005837.528592
L_20171115T005838.526507_1A10_L1.png,1A10,1,LEFT,20171115T005838.526507
L_20171115T005839.524974_1A10_L2.png,1A10,1,LEFT,20171115T005839.524974
L_20171115T005840.530471_1A10_L3.png,1A10,1,LEFT,20171115T005840.530471
L_20171115T005841.523997_1A10_L4.png,1A10,1,LEFT,20171115T005841.523997
L_20171115T005842.530734_1A10_L5.png,1A10,1,LEFT,20171115T005842.530734
L_20171115T005843.528440.png,1A11,1,LEFT,20171115T005843.528440
L_20171115T005844.530579.png,1A11,1,LEFT,20171115T005844.530579
L_20171115T005845.543191.png,1A11,1,LEFT,20171115T005845.543191
L_20171115T005846.531878.png,1A11,1,LEFT,20171115T005846.531878
L_20171115T005847.523651.png,1A11,1,LEFT,20171115T005847.523651
L_20171115T005848.526472_1A12_L1.png,1A12,1,LEFT,20171115T005848.526472
L_20171115T005849.520528_1A12_L2.png,1A12,1,LEFT,20171115T005849.520528
L_20171115T005850.530346_1A12_L3.png,1A12,1,LEFT,20171115T005850.530346
