New_filename,ID,Cropping,Crop_position,Bed,Camera,Timestamp
1A2_L1_0.png,1A2,0,TOP,1,LEFT,20171115T005757.603789
1A2_L1_1.png,1A2,1,TOP,1,LEFT,20171115T005757.603789
1A2_L2_0.png,1A2,0,TOP,1,LEFT,20171115T005758.601923
1A2_L2_1.png,1A2,1,TOP,1,LEFT,20171115T005758.601923
1A2_L3_0.png,1A2,0,CENTER,1,LEFT,20171115T005759.589128
1A2_L3_1.png,1A2,1,CENTER,1,LEFT,20171115T005759.589128
1A2_L4_0.png,1A2,0,BOTTOM,1,LEFT,20171115T005800.587644
1A2_L4_1.png,1A2,1,BOTTOM,1,LEFT,20171115T005800.587644
1A2_L5_0.png,1A2,0,BOTTOM,1,LEFT,20171115T005801.592059
1A2_L5_1.png,1A2,1,BOTTOM,1,LEFT,20171115T005801.592059
1A4_L1_0.png,1A4,0,TOP,1,LEFT,20171115T005807.608158
1A4_L1_1.png,1A4,1,TOP,1,LEFT,20171115T005807.608158
1A4_L2_0.png,1A4,0,TOP,1,LEFT,20171115T005808.581335
1A4_L2_1.png,1A4,1,TOP,1,LEFT,20171115T005808.581335
1A4_L3_0.png,1A4,0,CENTER,1,LEFT,20171115T005809.581048
1A4_L3_1.png,1A4,1,CENTER,1,LEFT,20171115T005809.581048
1A4_L4_0.png,1A4,0,BOTTOM,1,LEFT,20171115T005810.580941
1A4_L4_1.png,1A4,1,BOTTOM,1,LEFT,20171115T005810.580941
1A4_L5_0.png,1A4,0,BOTTOM,1,LEFT,20171115T005811.565567
1A4_L5_1.png,1A4,1,BOTTOM,1,LEFT,20171115T005811.565567
1A7_L1_0.png,1A7,0,TOP,1,LEFT,20171115T005823.546817
1A7_L1_1.png,1A7,1,TOP,1,LEFT,20171115T005823.546817
1A7_L2_0.png,1A7,0,TOP,1,LEFT,20171115T005824.546153
1A7_L2_1.png,1A7,1,TOP,1,LEFT,20171115T005824.546153
1A7_L3_0.png,1A7,0,CENTER,1,LEFT,20171115T005825.542753
1A7_L3_1.png,1A7,1,CENTER,1,LEFT,20171115T005825.542753
1A7_L4_0.png,1A7,0,BOTTOM,1,LEFT,20171115T005826.538889
1A7_L4_1.png,1A7,1,BOTTOM,1,LEFT,20171115T005826.538889
1A7_L5_0.png,1A7,0,BOTTOM,1,LEFT,20171115T005827.538741
1A7_L5_1.png,1A7,1,BOTTOM,1,LEFT,20171115T005827.538741
1A9_L1_0.png,1A9,0,TOP,1,LEFT,20171115T005836.535528
1A9_L1_1.png,1A9,1,TOP,1,LEFT,20171115T005836.535528
1A9_L2_0.png,1A9,0,TOP,1,LEFT,20171115T005837.528592
1A9_L2_1.png,1A9,1,TOP,1,LEFT,20171115T005837.528592
1A9_L3_0.png,1A9,0,CENTER,1,LEFT,20171115T005838.526507
1A9_L3_1.png,1A9,1,CENTER,1,LEFT,20171115T005838.526507
1A9_L4_0.png,1A9,0,BOTTOM,1,LEFT,20171115T005839.524974
1A9_L4_1.png,1A9,1,BOTTOM,1,LEFT,20171115T005839.524974
1A9_L5_0.png,1A9,0,BOTTOM,1,LEFT,20171115T005840.530471
1A9_L5_1.png,1A9,1,BOTTOM,1,LEFT,20171115T005840.530471
1A10_L1_0.png,1A10,0,TOP,1,LEFT,20171115T005841.523997
1A10_L1_1.png,1A10,1,TOP,1,LEFT,20171115T005841.523997
1A10_L2_0.png,1A10,0,TOP,1,LEFT,20171115T005842.530734
1A10_L2_1.png,1A10,1,TOP,1,LEFT,20171115T005842.530734
1A10_L3_0.png,1A10,0,CENTER,1,LEFT,20171115T005843.528440
1A10_L3_1.png,1A10,1,CENTER,1,LEFT,20171115T005843.528440
1A10_L4_0.png,1A10,0,BOTTOM,1,LEFT,20171115T005844.530579
1A10_L4_1.png,1A10,1,BOTTOM,1,LEFT,20171115T005844.530579
1A10_L5_0.png,1A10,0,BOTTOM,1,LEFT,20171115T005845.543191
1A10_L5_1.png,1A10,1,BOTTOM,1,LEFT,20171115T005845.543191
1A12_L1_0.png,1A12,0,TOP,1,LEFT,20171115T005849.520528
1A12_L1_1.png,1A12,1,TOP,1,LEFT,20171115T005849.520528
1A12_L2_0.png,1A12,0,TOP,1,LEFT,20171115T005850.530346
1A12_L2_1.png,1A12,1,TOP,1,LEFT,20171115T005850.530346
1A12_L3_0.png,1A12,0,CENTER,1,LEFT,20171115T005851.525230
1A12_L3_1.png,1A12,1,CENTER,1,LEFT,20171115T005851.525230
1A12_L4_0.png,1A12,0,BOTTOM,1,LEFT,20171115T005852.525685
1A12_L4_1.png,1A12,1,BOTTOM,1,LEFT,20171115T005852.525685
1A12_L5_0.png,1A12,0,BOTTOM,1,LEFT,20171115T005853.512043
1A12_L5_1.png,1A12,1,BOTTOM,1,LEFT,20171115T005853.512043
1A15_L1_0.png,1A15,0,TOP,1,LEFT,20171115T005905.515856
1A15_L1_1.png,1A15,1,TOP,1,LEFT,20171115T005905.515856
1A15_L2_0.png,1A15,0,TOP,1,LEFT,20171115T005906.497552
1A15_L2_1.png,1A15,1,TOP,1,LEFT,20171115T005906.497552
1A15_L3_0.png,1A15,0,CENTER,1,LEFT,20171115T005907.490186
1A15_L3_1.png,1A15,1,CENTER,1,LEFT,20171115T005907.490186
1A15_L4_0.png,1A15,0,BOTTOM,1,LEFT,20171115T005908.487847
1A15_L4_1.png,1A15,1,BOTTOM,1,LEFT,20171115T005908.487847
1A15_L5_0.png,1A15,0,BOTTOM,1,LEFT,20171115T005909.493403
1A15_L5_1.png,1A15,1,BOTTOM,1,LEFT,20171115T005909.493403
1A17_L1_0.png,1A17,0,TOP,1,LEFT,20171115T005914.472735
1A17_L1_1.png,1A17,1,TOP,1,LEFT,20171115T005914.472735
1A17_L2_0.png,1A17,0,TOP,1,LEFT,20171115T005915.482219
1A17_L2_1.png,1A17,1,TOP,1,LEFT,20171115T005915.482219
1A17_L3_0.png,1A17,0,CENTER,1,LEFT,20171115T005916.475105
1A17_L3_1.png,1A17,1,CENTER,1,LEFT,20171115T005916.475105
1A17_L4_0.png,1A17,0,BOTTOM,1,LEFT,20171115T005917.503287
1A17_L4_1.png,1A17,1,BOTTOM,1,LEFT,20171115T005917.503287
1A17_L5_0.png,1A17,0,BOTTOM,1,LEFT,20171115T005918.475347
1A17_L5_1.png,1A17,1,BOTTOM,1,LEFT,20171115T005918.475347
1A18_L1_0.png,1A18,0,TOP,1,LEFT,20171115T005920.461945
1A18_L1_1.png,1A18,1,TOP,1,LEFT,20171115T005920.461945
1A18_L2_0.png,1A18,0,TOP,1,LEFT,20171115T005921.462679
1A18_L2_1.png,1A18,1,TOP,1,LEFT,20171115T005921.462679
1A18_L3_0.png,1A18,0,CENTER,1,LEFT,20171115T005922.461390
1A18_L3_1.png,1A18,1,CENTER,1,LEFT,20171115T005922.461390
1A18_L4_0.png,1A18,0,BOTTOM,1,LEFT,20171115T005923.459804
1A18_L4_1.png,1A18,1,BOTTOM,1,LEFT,20171115T005923.459804
1A18_L5_0.png,1A18,0,BOTTOM,1,LEFT,20171115T005924.460682
1A18_L5_1.png,1A18,1,BOTTOM,1,LEFT,20171115T005924.460682
1A19_L1_0.png,1A19,0,TOP,1,LEFT,20171115T005925.455873
1A19_L1_1.png,1A19,1,TOP,1,LEFT,20171115T005925.455873
1A19_L2_0.png,1A19,0,TOP,1,LEFT,20171115T005926.459624
1A19_L2_1.png,1A19,1,TOP,1,LEFT,20171115T005926.459624
1A19_L3_0.png,1A19,0,CENTER,1,LEFT,20171115T005927.460076
1A19_L3_1.png,1A19,1,CENTER,1,LEFT,20171115T005927.460076
1A19_L4_0.png,1A19,0,BOTTOM,1,LEFT,20171115T005928.465151
1A19_L4_1.png,1A19,1,BOTTOM,1,LEFT,20171115T005928.465151
1A19_L5_0.png,1A19,0,BOTTOM,1,LEFT,20171115T005929.464581
1A19_L5_1.png,1A19,1,BOTTOM,1,LEFT,20171115T005929.464581
1A21_L1_0.png,1A21,0,TOP,1,LEFT,20171115T005936.457565
1A21_L1_1.png,1A21,1,TOP,1,LEFT,20171115T005936.457565
1A21_L2_0.png,1A21,0,TOP,1,LEFT,20171115T005937.461396
1A21_L2_1.png,1A21,1,TOP,1,LEFT,20171115T005937.461396
1A21_L3_0.png,1A21,0,CENTER,1,LEFT,20171115T005938.449284
1A21_L3_1.png,1A21,1,CENTER,1,LEFT,20171115T005938.449284
1A21_L4_0.png,1A21,0,BOTTOM,1,LEFT,20171115T005939.451207
1A21_L4_1.png,1A21,1,BOTTOM,1,LEFT,20171115T005939.451207
1A21_L5_0.png,1A21,0,BOTTOM,1,LEFT,20171115T005940.449212
1A21_L5_1.png,1A21,1,BOTTOM,1,LEFT,20171115T005940.449212
1A22_L1_0.png,1A22,0,TOP,1,LEFT,20171115T005941.440663
1A22_L1_1.png,1A22,1,TOP,1,LEFT,20171115T005941.440663
1A22_L2_0.png,1A22,0,TOP,1,LEFT,20171115T005942.444075
1A22_L2_1.png,1A22,1,TOP,1,LEFT,20171115T005942.444075
1A22_L3_0.png,1A22,0,CENTER,1,LEFT,20171115T005943.448373
1A22_L3_1.png,1A22,1,CENTER,1,LEFT,20171115T005943.448373
1A22_L4_0.png,1A22,0,BOTTOM,1,LEFT,20171115T005944.440916
1A22_L4_1.png,1A22,1,BOTTOM,1,LEFT,20171115T005944.440916
1A22_L5_0.png,1A22,0,BOTTOM,1,LEFT,20171115T005945.440755
1A22_L5_1.png,1A22,1,BOTTOM,1,LEFT,20171115T005945.440755
1A23_L1_0.png,1A23,0,TOP,1,LEFT,20171115T005946.434788
1A23_L1_1.png,1A23,1,TOP,1,LEFT,20171115T005946.434788
1A23_L2_0.png,1A23,0,TOP,1,LEFT,20171115T005947.430040
1A23_L2_1.png,1A23,1,TOP,1,LEFT,20171115T005947.430040
1A23_L3_0.png,1A23,0,CENTER,1,LEFT,20171115T005948.436940
1A23_L3_1.png,1A23,1,CENTER,1,LEFT,20171115T005948.436940
1A23_L4_0.png,1A23,0,BOTTOM,1,LEFT,20171115T005949.445218
1A23_L4_1.png,1A23,1,BOTTOM,1,LEFT,20171115T005949.445218
1A23_L5_0.png,1A23,0,BOTTOM,1,LEFT,20171115T005950.425855
1A23_L5_1.png,1A23,1,BOTTOM,1,LEFT,20171115T005950.425855
1A29_L1_0.png,1A29,0,TOP,1,LEFT,20171115T010016.398462
1A29_L1_1.png,1A29,1,TOP,1,LEFT,20171115T010016.398462
1A29_L2_0.png,1A29,0,TOP,1,LEFT,20171115T010017.393525
1A29_L2_1.png,1A29,1,TOP,1,LEFT,20171115T010017.393525
1A29_L3_0.png,1A29,0,CENTER,1,LEFT,20171115T010018.396267
1A29_L3_1.png,1A29,1,CENTER,1,LEFT,20171115T010018.396267
1A29_L4_0.png,1A29,0,BOTTOM,1,LEFT,20171115T010019.390821
1A29_L4_1.png,1A29,1,BOTTOM,1,LEFT,20171115T010019.390821
1A29_L5_0.png,1A29,0,BOTTOM,1,LEFT,20171115T010020.383671
1A29_L5_1.png,1A29,1,BOTTOM,1,LEFT,20171115T010020.383671
1A30_L1_0.png,1A30,0,TOP,1,LEFT,20171115T010021.384288
1A30_L1_1.png,1A30,1,TOP,1,LEFT,20171115T010021.384288
1A30_L2_0.png,1A30,0,TOP,1,LEFT,20171115T010022.379139
1A30_L2_1.png,1A30,1,TOP,1,LEFT,20171115T010022.379139
1A30_L3_0.png,1A30,0,CENTER,1,LEFT,20171115T010023.386000
1A30_L3_1.png,1A30,1,CENTER,1,LEFT,20171115T010023.386000
1A30_L4_0.png,1A30,0,BOTTOM,1,LEFT,20171115T010024.381121
1A30_L4_1.png,1A30,1,BOTTOM,1,LEFT,20171115T010024.381121
1A30_L5_0.png,1A30,0,BOTTOM,1,LEFT,20171115T010025.378468
1A30_L5_1.png,1A30,1,BOTTOM,1,LEFT,20171115T010025.378468
1A32_L1_0.png,1A32,0,TOP,1,LEFT,20171115T010032.380983
1A32_L1_1.png,1A32,1,TOP,1,LEFT,20171115T010032.380983
1A32_L2_0.png,1A32,0,TOP,1,LEFT,20171115T010033.374068
1A32_L2_1.png,1A32,1,TOP,1,LEFT,20171115T010033.374068
1A32_L3_0.png,1A32,0,CENTER,1,LEFT,20171115T010034.372583
1A32_L3_1.png,1A32,1,CENTER,1,LEFT,20171115T010034.372583
